"dataset","model_id","condition","n","correct","wrong","idk","unparseable_count","AA","coverage","HR","unparseable","abstention_rate"
"truthfulqa_mc1","llama3-8b","adaptive_mc_mean050","817","606","128","81","2","0.8256130790190735","0.8984088127294981","0.15667074663402691","0.0024479804161566705","0.09914320685434516"
"truthfulqa_mc1","llama3-8b","adaptive_mc_mean060","817","606","128","81","2","0.8256130790190735","0.8984088127294981","0.15667074663402691","0.0024479804161566705","0.09914320685434516"
"truthfulqa_mc1","llama3-8b","adaptive_mc_mean070","817","606","128","81","2","0.8256130790190735","0.8984088127294981","0.15667074663402691","0.0024479804161566705","0.09914320685434516"
"truthfulqa_mc1","llama3-8b","adaptive_mc_mean080","817","606","127","82","2","0.8267394270122783","0.8971848225214198","0.1554467564259486","0.0024479804161566705","0.1003671970624235"
"truthfulqa_mc1","llama3-8b","adaptive_mc_mean090","817","551","95","169","2","0.8529411764705882","0.7906976744186046","0.11627906976744186","0.0024479804161566705","0.20685434516523868"
"truthfulqa_mc1","llama3-8b","cot_mc","817","659","158","0","0","0.806609547123623","1.0","0.193390452876377","0.0","0.0"
"truthfulqa_mc1","llama3-8b","critical_mc_mean050","817","654","145","16","2","0.818523153942428","0.97796817625459","0.17747858017135862","0.0024479804161566705","0.019583843329253364"
"truthfulqa_mc1","llama3-8b","critical_mc_mean060","817","654","145","16","2","0.818523153942428","0.97796817625459","0.17747858017135862","0.0024479804161566705","0.019583843329253364"
"truthfulqa_mc1","llama3-8b","critical_mc_mean070","817","653","145","17","2","0.818295739348371","0.9767441860465116","0.17747858017135862","0.0024479804161566705","0.0208078335373317"
"truthfulqa_mc1","llama3-8b","critical_mc_mean080","817","651","143","21","2","0.8198992443324937","0.9718482252141983","0.17503059975520197","0.0024479804161566705","0.025703794369645042"
"truthfulqa_mc1","llama3-8b","critical_mc_mean090","817","571","110","134","2","0.8384728340675477","0.8335373317013464","0.1346389228886169","0.0024479804161566705","0.16401468788249693"
"truthfulqa_mc1","llama3-8b","direct_mc","817","668","149","0","0","0.817625458996328","1.0","0.18237454100367198","0.0","0.0"
"truthfulqa_mc1","llama3-70b","adaptive_mc_mean050","817","610","143","64","0","0.8100929614873837","0.9216646266829865","0.17503059975520197","0.0","0.07833537331701346"
"truthfulqa_mc1","llama3-70b","adaptive_mc_mean060","817","610","143","64","0","0.8100929614873837","0.9216646266829865","0.17503059975520197","0.0","0.07833537331701346"
"truthfulqa_mc1","llama3-70b","adaptive_mc_mean070","817","610","142","65","0","0.8111702127659575","0.9204406364749081","0.17380660954712362","0.0","0.0795593635250918"
"truthfulqa_mc1","llama3-70b","adaptive_mc_mean080","817","608","142","67","0","0.8106666666666666","0.9179926560587516","0.17380660954712362","0.0","0.08200734394124846"
"truthfulqa_mc1","llama3-70b","adaptive_mc_mean090","817","549","103","165","0","0.8420245398773006","0.7980416156670747","0.12607099143206854","0.0","0.20195838433292534"
"truthfulqa_mc1","llama3-70b","cot_mc","817","656","161","0","0","0.802937576499388","1.0","0.19706242350061198","0.0","0.0"
"truthfulqa_mc1","llama3-70b","critical_mc_mean050","817","688","104","23","2","0.8686868686868687","0.9694002447980417","0.12729498164014688","0.0024479804161566705","0.028151774785801713"
"truthfulqa_mc1","llama3-70b","critical_mc_mean060","817","688","104","23","2","0.8686868686868687","0.9694002447980417","0.12729498164014688","0.0024479804161566705","0.028151774785801713"
"truthfulqa_mc1","llama3-70b","critical_mc_mean070","817","688","104","23","2","0.8686868686868687","0.9694002447980417","0.12729498164014688","0.0024479804161566705","0.028151774785801713"
